time,y
110.2,-7.087
110.4,-7.277
110.6,-3.279
110.8,-9.917
111,-20.64
111.2,-3.856
111.4,-2.235
111.6,-9.706
111.8,-22.44
112,-2.505
112.2,-0.8108
112.4,-3.413
112.6,-1.516
112.8,0.9896
113,1.771
113.2,8.572
113.4,19.99
113.6,3.304
113.8,4.122
114,14.33
114.2,5.775
114.4,0.8242
114.6,2.778
114.8,13.75
115,6.531
115.2,-0.606
115.4,-2.759
115.6,-8.945
115.8,-4.338
116,-0.4526
116.2,-1.027
116.4,-5.732
116.6,-8.676
116.8,-4.057
117,-10.58
117.2,-19.14
117.4,-4.609
117.6,-4.825
117.8,-17
118,-11.72
118.2,-1.704
118.4,-3.637
118.6,-17.23
118.8,-11.82
119,-0.9727
119.2,-1.569
119.4,-5.147
119.6,1.25
119.8,0.3639
120,1.066
120.2,6.383
120.4,23.38
120.6,4.94
120.8,6.184
121,13.96
121.2,4.974
121.4,3.834
121.6,11.38
121.8,9.207
122,2.355
122.2,6.035
122.4,15.8
122.6,3.196
122.8,1.778
123,7.313
123.2,16.24
123.4,1.111
123.6,-0.4006
123.8,-1.943
124,-9.233
124.2,-5.559
124.4,-4.398
124.6,-14.18
124.8,-15.15
125,-2.666
125.2,-4.547
125.4,-18.53
125.6,-10.25
125.8,-0.7008
126,-0.4675
126.2,-2.664
126.4,-3.681
126.6,2.613
126.8,6.286
127,17.1
127.2,7.857
127.4,3.189
127.6,9.806
127.8,17.2
128,3.262
128.2,1.933
128.4,8.64
128.6,19.69
128.8,3.17
129,3.23
129.2,12.71
129.4,7.82
129.6,0.3615
129.8,-0.02935
130,-0.2194
130.2,-1.574
130.4,-10.19
130.6,-7.147
130.8,-8.994
131,-16.43
131.2,-9.695
131.4,-7.76
131.6,-15.6
131.8,-11.59
132,-6.699
132.2,-13.61
132.4,-14.4
132.6,-6.109
132.8,-10.81
133,-17.49
133.2,-6.464
133.4,-7.827
133.6,-18.34
133.8,-8.664
134,-5.278
134.2,-14.45
134.4,-14.35
134.6,-3.896
134.8,-7.954
135,-20.87
135.2,-6.068
135.4,-2.84
135.6,-10.53
135.8,-20.7
136,-2.664
136.2,-0.1525
136.4,-0.414
136.6,-2.826
136.8,-3.172
137,3.844
137.2,8.772
137.4,15.98
137.6,6.643
137.8,6.346
138,15.53
138.2,9.377
138.4,4.413
138.6,11.26
138.8,14.88
139,3.928
139.2,5.749
139.4,17.54
139.6,7.902
139.8,2.003
140,6.269
140.2,20.35
140.4,5.319
140.6,1.099
140.8,4.205
141,18.23
141.2,2.417
141.4,-1.23
141.6,-4.422
141.8,-8.931
142,-2.216
142.2,-0.8788
142.4,-3.662
142.6,-10.14
142.8,-3.009
143,-4.466
143.2,-17.12
143.4,-11.73
143.6,-1.061
143.8,-0.6432
144,-3.644
144.2,-22.12
144.4,-7.809
144.6,-1.581
144.8,-3.459
145,-1.04
145.2,-0.4663
145.4,-2.507
145.6,-3.042
145.8,0.1384
146,-1.348
146.2,-4.289
146.4,0.2168
146.6,-0.317
146.8,-2.265
147,-4.111
147.2,0.9069
147.4,-0.1916
147.6,-1.445
147.8,-5.915
148,2.159
148.2,3.376
148.4,11.24
148.6,15.4
148.8,2.845
149,3
149.2,12.99
149.4,13.78
149.6,1.701
149.8,2.555
150,12.14
150.2,8.602
150.4,-0.282
150.6,-2.033
150.8,-7.857
151,-5.923
151.2,-0.6914
151.4,-1.17
151.6,-6.905
151.8,-27.25
152,-3.425
152.2,-1.792
152.4,-3.962
152.6,-0.008974
152.8,-0.8036
153,-3.313
153.2,-1.488
153.4,-0.01461
153.6,-1.664
153.8,-4.63
154,0.7476
154.2,-0.2744
154.4,-2.004
154.6,-4.942
154.8,1.435
155,1.212
155.2,5.135
155.4,20.97
155.6,6.188
155.8,2.79
156,9.718
156.2,12.17
156.4,1.076
156.6,1.179
156.8,6.071
157,18.92
157.2,0.6132
157.4,-1.928
157.6,-6.449
157.8,-7.004
158,-1.354
158.2,-2.023
158.4,-8.012
158.6,-5.879
158.8,-1.072
159,-3.296
159.2,-17.24
159.4,-11.87
159.6,-1.179
159.8,-2.266
160,-4.008
160.2,0.718
160.4,-0.4807
160.6,-2.703
160.8,-3.341
161,1.233
161.2,1.668
161.4,7.575
161.6,20.93
161.8,3.764
162,3.256
162.2,12.31
162.4,8.328
162.6,0.576
162.8,0.8022
163,4.525
163.2,20.2
163.4,1.08
163.6,-2.338
163.8,-6.616
164,-6.498
164.2,-2.028
164.4,-3.911
164.6,-8.833
164.8,-3.094
165,-1.572
165.2,-5.49
165.4,-8.209
165.6,-1.381
165.8,-0.2154
166,-0.9761
166.2,-6.291
166.4,-8.544
166.6,-5.731
166.8,-13.6
167,-14.89
167.2,-5.204
167.4,-9.537
167.6,-19.1
167.8,-6.193
168,-5.687
168.2,-17.03
168.4,-11.3
168.6,-3.139
168.8,-8.277
169,-21.79
169.2,-4.897
169.4,-1.542
169.6,-6.369
169.8,-24.51
170,-4.776
170.2,-0.8972
170.4,-3.065
170.6,-2.315
170.8,0.712
171,-0.1358
171.2,-1.018
171.4,-5.655
171.6,2.293
171.8,4.335
172,11.94
172.2,13.95
172.4,4.064
172.6,6.866
172.8,17.93
173,6.62
173.2,2.888
173.4,9.816
173.6,17.44
173.8,2.914
174,0.6855
174.2,3.18
174.4,17.98
174.6,9.511
174.8,4.014
175,10.65
175.2,10.19
175.4,2.556
175.6,5.914
175.8,15.51
176,3.58
176.2,2.114
176.4,8.245
176.6,14.63
176.8,1.123
177,0.08486
177.2,0.4331
177.4,3.002
177.6,19.36
177.8,1.873
178,-3.041
178.2,-6.548
178.4,-5.966
178.6,-3.191
178.8,-5.667
179,-7
179.2,-3.135
179.4,-4.516
179.6,-7.839
179.8,-3.599
180,-3.351
180.2,-7.679
180.4,-4.952
180.6,-2.43
180.8,-5.876
181,-7.287
181.2,-2.151
181.4,-3.272
181.6,-8.729
181.8,-3.964
182,-1.322
182.2,-4.223
182.4,-9.324
182.6,-2.221
182.8,-0.3099
183,-1.336
183.2,-9.081
183.4,-25.17
183.6,-2.527
183.8,-2.307
184,-3.195
184.2,-0.1801
184.4,-1.521
184.6,-3.814
184.8,-0.2156
185,-0.8417
185.2,-3.275
185.4,-1.487
185.6,-0.1549
185.8,-1.943
186,-4.187
186.2,0.5273
186.4,-0.6613
186.6,-3.236
186.8,-1.857
187,0.5387
187.2,-0.4006
187.4,-2.376
187.6,-4.452
187.8,2.067
188,4.41
188.2,15.1
188.4,10.89
188.6,1.818
188.8,3.783
189,16.7
189.2,9.868
189.4,1.641
189.6,4.584
189.8,17.21
190,3.009
190.2,-0.364
190.4,-1.836
190.6,-8.345
190.8,-5.973
191,-2.813
191.2,-9.596
191.4,-21.6
191.6,-3.349
191.8,-0.3438
192,-1.429
192.2,-9.353
192.4,-24.54
192.6,-2.426
192.8,-2.247
193,-3.391
193.2,-0.05409
193.4,-1.366
193.6,-3.914
193.8,-0.2158
194,-0.6137
194.2,-2.921
194.4,-2.333
194.6,0.171
194.8,-1.332
195,-4.575
195.2,0.5604
195.4,-0.06817
195.6,-1.388
195.8,-5.399
196,1.546
196.2,1.453
196.4,5.42
196.6,20.19
196.8,6.26
197,1.587
197.2,5.801
197.4,18.05
197.6,1.541
197.8,-0.7639
198,-3.237
198.2,-9.95
198.4,-3.257
198.6,-2.293
198.8,-9.823
199,-22.3
199.2,-2.449
199.4,-0.8238
199.6,-3.471
199.8,-1.378
200,0.964
200.2,1.738
200.4,8.473
200.6,20.15
200.8,3.364
201,4.215
201.2,14.4
201.4,5.668
201.6,0.9225
201.8,3.203
202,15.01
202.2,5.201
202.4,-0.5866
202.6,-2.644
202.8,-9.066
203,-4.411
203.2,-0.3926
203.4,-0.6844
203.6,-4.333
203.8,-25.63
204,-5.859
204.2,-1.78
204.4,-3.566
204.6,-0.5941
204.8,-0.8885
205,-3.144
205.2,-1.593
205.4,-0.357
205.6,-2.243
205.8,-3.451
206,0.1527
206.2,-1.227
206.4,-4.088
206.6,-0.08451
206.8,-0.2961
207,-2.236
207.2,-4.067
207.4,0.7981
207.6,-0.362
207.8,-2.229
208,-4.655
208.2,1.631
208.4,2.525
208.6,10.23
208.8,17.23
209,2.44
209.2,1.197
209.4,5.791
209.6,19.23
209.8,0.7108
210,-1.943
210.2,-6.402
210.4,-7.021
210.6,-1.431
210.8,-2.192
211,-8.284
211.2,-5.497
211.4,-0.734
211.6,-1.922
211.8,-11.2
212,-20.87
212.2,-1.932
212.4,-2.091
212.6,-3.945
212.8,0.3461
213,-0.886
213.2,-3.69
213.4,-0.839
213.6,0.1266
213.8,-1.215
214,-4.892
214.2,0.9812
214.4,0.5133
214.6,1.352
214.8,7.62
215,21.79
215.2,4.151
215.4,5.902
215.6,14.62
215.8,4.521
216,3
216.2,10.11
216.4,11.33
216.6,1.611
216.8,3.165
217,13.3
217.2,7.091
217.4,0.1333
217.6,-0.5796
217.8,-3.056
218,-10.78
218.2,-4.128
218.4,-6.875
218.6,-19.29
218.8,-8.409
219,-3.324
219.2,-10.53
219.4,-20.15
219.6,-3.325
219.8,-1.876
220,-8.541
220.2,-24.12
220.4,-2.934
220.6,-1.022
220.8,-3.846
221,-0.5892
221.2,0.4547
221.4,-0.2199
221.6,-1.435
221.8,-6.353
222,2.757
222.2,5.106
222.4,14.13
222.6,11.4
222.8,3.752
223,8.485
223.2,17.79
223.4,4.865
223.6,3.341
223.8,12.35
224,14.33
224.2,1.872
224.4,0.7108
224.6,3.657
224.8,20.12
225,8.114
225.2,4.503
225.4,11.83
225.6,8.456
225.8,2.82
226,7.399
226.2,14.57
226.4,2.854
226.6,3.177
226.8,11.84
227,8.927
227.2,0.9176
227.4,2.005
227.6,10.17
227.8,11.73
228,-0.223
228.2,-2.189
228.4,-7.78
228.6,-5.791
228.8,-0.6851
229,-1.017
229.2,-5.335
229.4,-8.942
229.6,-3.445
229.8,-8.846
230,-20.84
230.2,-5.17
230.4,-3.044
230.6,-11.77
230.8,-19.03
231,-2.133
231.2,-0.1683
231.4,-0.6284
231.6,-4.116
231.8,0.3878
232,4.164
232.2,10.27
232.4,15.3
232.6,5.341
232.8,6.919
233,16.8
233.2,7.675
233.4,4.143
233.6,12.08
233.8,14.17
234,3.113
234.2,4.838
234.4,17.29
234.6,8.732
234.8,0.8838
235,1.407
235.2,8.033
235.4,21.28
235.6,4.045
235.8,6.162
236,14.65
236.2,4.274
236.4,3.181
236.6,10.69
236.8,10.44
237,1.605
237.2,3.576
237.4,14.41
237.6,5.796
237.8,0.1334
238,-0.3755
238.2,-2.083
238.4,-10.35
238.6,-5.492
238.8,-6.902
239,-17.72
239.2,-9.93
239.4,-4.53
239.6,-12.26
239.8,-17.29
240,-3.919
240.2,-5.675
240.4,-19.22
240.6,-9.127
240.8,-1.595
241,-4.644
241.2,-20.72
241.4,-8.296
241.6,-0.7886
241.8,-1.87
242,-5.055
242.2,1.342
242.4,0.6011
242.6,2.475
242.8,14
243,12.95
243.2,3.371
243.4,8.265
243.6,13.64
243.8,2.591
244,3.701
244.2,13.29
244.4,6.991
244.6,0.9647
244.8,2.906
245,13.8
245.2,6.492
245.4,-0.4333
245.6,-2.285
245.8,-8.521
246,-5.2
246.2,-0.6336
246.4,-1.6
246.6,-9.568
246.8,-23.89
247,-2.315
247.2,-2.033
247.4,-3.897
247.6,0.2089
247.8,-0.9621
248,-3.715
248.2,-0.7473
248.4,-0.06428
248.6,-1.71
248.8,-4.805
249,0.959
249.2,-0.1007
249.4,-1.236
249.6,-5.56
249.8,1.837
250,2.601
250.2,8.79
250.4,18.32
250.6,3.742
250.8,1.344
251,5.877
251.2,21.84
251.4,5.145
251.6,3.364
251.8,11.66
252,9.164
252.2,1.064
252.4,2.444
252.6,11.78
252.8,9.122
253,-0.2208
253.2,-1.914
253.4,-7.566
253.6,-6.253
253.8,-0.8151
254,-1.591
254.2,-9.133
254.4,-24.48
254.6,-2.432
254.8,-1.872
255,-4.13
255.2,0.285
255.4,-0.7472
255.6,-3.339
255.8,-1.537
256,0.2178
256.2,-1.126
256.4,-4.651
256.6,0.686
256.8,0.4097
257,0.4
257.2,2.281
257.4,15.32
257.6,11.95
257.8,4.905
258,10.66
258.2,9.609
258.4,3.809
258.6,8.132
258.8,12.92
259,3.751
259.2,5.411
259.4,13.98
259.6,5.446
259.8,3.135
260,9.796
260.2,11.64
260.4,2.019
260.6,3.99
260.8,14.61
261,5.499
261.2,0.564
261.4,1.753
261.6,9.731
261.8,12.55
262,-0.5242
262.2,-2.947
262.4,-8.383
262.6,-4.556
262.8,-1.377
263,-4.007
263.2,-9.367
263.4,-2.457
263.6,-0.207
263.8,-0.6604
264,-4.226
264.2,-10.35
264.4,-5.142
264.6,-11.03
264.8,-17.61
265,-5.976
265.2,-7.536
265.4,-18.71
265.6,-8.503
265.8,-4.659
266,-13.52
266.2,-15.76
266.4,-3.441
266.6,-5.987
266.8,-20.22
267,-8.068
267.2,-1.281
267.4,-3.936
267.6,-19.29
267.8,-9.734
268,-0.9925
268.2,-2.206
268.4,-4.274
268.6,0.9326
268.8,-0.1763
269,-1.394
269.2,-5.878
269.4,2.127
269.6,3.276
269.8,10.89
270,15.83
270.2,2.959
270.4,2.83
270.6,12.3
270.8,14.64
271,1.858
271.2,2.593
271.4,12.09
271.6,8.682
271.8,-0.2051
272,-1.825
272.2,-7.424
272.4,-6.454
272.6,-1.024
272.8,-2.579
273,-13.94
273.2,-16.21
273.4,-1.459
273.6,-2.032
273.8,-4.294
274,0.6643
274.2,-0.5187
274.4,-2.832
274.6,-2.92
274.8,0.9288
275,0.2758
275.2,1.299
275.4,8.609
275.6,20.77
275.8,4.641
276,7.925
276.2,12.92
276.4,4.163
276.6,5.564
276.8,13.62
277,5.711
277.2,3.581
277.4,10.45
277.6,10.51
277.8,2.417
278,5.459
278.2,15.61
278.4,3.839
278.6,1.68
278.8,6.651
279,16.95
279.2,1.457
279.4,-0.2871
279.6,-1.476
