time,x
160.8,-21.274575
161,-2.9193688
161.2,-1.1094983
161.4,-4.9998977
161.6,-11.300786
161.8,0.67164563
162,2.6752479
162.2,10.121583
162.4,10.969137
162.6,1.4813381
162.8,0.68855959
163,3.555136
163.2,17.04049
163.4,6.2148314
163.6,5.8014668
163.8,15.812287
164,9.4155193
164.2,3.5064129
164.4,9.6882655
164.6,17.753171
164.8,3.4508382
165,3.5805111
165.2,14.058276
165.4,12.36445
165.6,1.0369785
165.8,0.47489685
166,2.6617821
166.2,17.132648
166.4,8.6699252
166.6,-0.16382275
166.8,-1.1173771
167,-3.0711349
167.2,-1.3558722
167.4,-0.81213587
167.6,-2.4468421
167.8,-2.2110522
168,-0.63735295
168.2,-1.3030923
168.4,-3.4564574
168.6,-0.79238901
168.8,-0.54584957
169,-2.4026738
169.2,-2.5453959
169.4,-0.26173435
169.6,-0.30725706
169.8,-1.9954819
170,-3.5822005
170.2,-3.2022599
170.4,-11.640661
170.6,-18.710125
170.8,-2.6594883
171,-0.74355749
171.2,-3.6250991
171.4,-20.661983
171.6,-9.3475054
171.8,-2.8834327
172,-7.37537
172.2,-6.062366
172.4,-1.4505511
172.6,-4.2129294
172.8,-10.357306
173,-1.5284353
173.2,-1.5298419
173.4,-6.3025782
173.6,-8.3437097
173.8,-0.16720777
174,-0.36579792
174.2,-2.1171348
174.4,-11.798754
174.6,-0.69453794
174.8,3.1740567
175,9.0161298
175.2,11.494866
175.4,3.3646047
175.6,5.0435658
175.8,13.840885
176,6.0080201
176.2,2.0889633
176.4,6.7308395
176.6,14.707247
176.8,3.098973
177,0.17007369
177.2,0.3446028
177.4,2.3166608
177.6,15.431372
177.8,8.6018349
178,7.3667087
178.2,14.750614
178.4,9.5237732
178.6,6.1599218
178.8,13.14792
179,12.0488
179.2,5.3608365
179.4,10.57759
179.6,15.302278
179.8,5.2954608
180,7.6571088
180.2,17.105096
180.4,6.7563157
180.6,5.0330948
180.8,14.2486
181,11.486802
181.2,3.3261806
181.4,8.0317065
181.6,19.083877
181.8,4.3582259
182,2.7876256
182.2,10.916342
182.4,17.072162
182.6,1.5931501
182.8,0.030327098
183,-0.052148588
183.2,-0.27513475
183.4,-3.8026886
183.6,-4.9717472
183.8,-9.8781457
184,-17.581508
184.2,-7.4578366
184.4,-7.435913
184.6,-17.347037
184.8,-9.9720096
185,-5.4004685
185.2,-13.593574
185.4,-15.133336
185.6,-4.4752989
185.8,-8.1052912
186,-20.091201
186.2,-6.6623813
186.4,-3.6033077
186.6,-12.442174
186.8,-17.523619
187,-2.5763249
187.2,-1.7611745
187.4,-8.5343181
187.6,-23.950012
187.8,-3.4490636
188,-2.7882654
188.2,-9.4535023
188.4,-3.3247268
188.6,-0.53396044
188.8,-2.4096191
189,-10.709927
189.2,-1.914585
189.4,0.97262963
189.6,3.7275299
189.8,14.570418
190,6.6658532
190.2,1.4062142
190.4,4.8226959
190.6,20.98406
190.8,5.174297
191,-0.021659063
191.2,-0.5410708
191.4,-2.9661133
191.6,-2.1278357
191.8,-0.11506787
192,-0.062960474
192.2,-0.29763849
192.4,-3.8409686
192.6,-4.6613658
192.8,-9.495308
193,-18.072442
193.2,-7.3307574
193.4,-6.738882
193.6,-17.10512
193.8,-10.670096
194,-4.6270268
194.2,-11.848416
194.4,-17.478822
194.6,-4.3115366
194.8,-5.7094274
195,-18.821666
195.2,-9.6016821
195.4,-1.8636162
195.6,-5.2821989
195.8,-21.545868
196,-7.6965698
196.2,-1.1452001
196.4,-3.5241398
196.6,-12.273256
196.8,-0.32991133
197,1.1540652
197.2,4.6758195
197.4,16.040964
197.6,4.8635546
197.8,2.1433041
198,8.5002654
198.2,20.903703
198.4,2.0538321
198.6,-0.093787685
198.8,-0.46750578
199,-3.327087
199.2,-2.3761477
199.4,-3.0895618
199.6,-12.920233
199.8,-17.255956
200,-1.8655282
200.2,-1.1382455
200.4,-5.6195719
200.6,-10.153393
200.8,0.98878122
201,3.5003801
201.2,12.117857
201.4,8.6353413
201.6,1.3377681
201.8,2.6266316
202,12.203902
202.2,9.254014
202.4,2.3060206
202.6,6.7906015
202.8,20.962101
203,3.9606282
203.2,0.15565178
203.4,-0.027712786
203.6,-0.13615934
203.8,-1.3304857
204,-5.4380458
204.2,-7.3162083
204.4,-16.220313
204.6,-11.091971
204.8,-6.0799757
205,-13.48218
205.2,-14.847488
205.4,-5.4041942
205.6,-9.6007831
205.8,-18.749489
206,-6.4296719
206.2,-5.8745635
206.4,-17.065796
206.6,-11.200679
206.8,-3.3707146
207,-8.8040611
207.2,-21.081504
207.4,-4.8840287
207.6,-1.9893372
207.8,-8.1885989
208,-23.520267
208.2,-3.8468043
208.4,-1.6528762
208.6,-6.6505681
208.8,-7.8336526
209,0.23710089
209.2,0.94273206
209.4,4.5858057
209.6,17.154757
209.8,4.8484196
210,4.8838023
210.2,15.813094
210.4,9.8460442
210.6,2.0110286
210.8,5.5228605
211,20.193352
211.2,5.4110282
211.4,0.1940936
211.6,-0.089369779
211.8,-0.41186124
212,-4.243895
212.2,-3.7525106
212.4,-8.516717
212.6,-19.497857
212.8,-6.8378627
213,-4.583086
213.2,-14.638367
213.4,-14.423032
213.6,-2.7220557
213.8,-4.8755581
214,-19.220664
214.2,-9.6904063
214.4,-0.7730829
214.6,-0.88865855
214.8,-5.1201614
215,-11.472141
215.2,1.6001182
215.4,4.9909799
215.6,13.015877
215.8,6.7520803
216,2.9444548
