time,z
128,26.64
128.2,15.79
128.4,11.66
128.6,37.45
128.8,27.29
129,16.36
129.2,16.62
129.4,38.22
129.6,22.94
129.8,13.44
130,7.893
130.2,5.009
130.4,21.85
130.6,33.93
130.8,22.24
131,26.56
131.2,30.82
131.4,22.51
131.6,23.83
131.8,32.4
132,23.66
132.2,21.32
132.4,33.06
132.6,25.54
132.8,19.74
133,31.14
133.2,28.34
133.4,19.56
133.6,25.57
133.8,32.2
134,21.02
134.2,19.17
134.4,35.44
134.6,24.51
134.8,16.52
135,27.78
135.2,31.33
135.4,18.82
135.6,13.88
135.8,35.74
136,27.44
136.2,15.99
136.4,9.43
136.6,7.412
136.8,41.22
137,27.25
137.2,19.67
137.4,30.33
137.6,29.01
137.8,19.7
138,24.2
138.2,33.04
138.4,21.53
138.6,18.23
138.8,35.31
139,25.53
139.2,16.58
139.4,24.3
139.6,33.35
139.8,19.9
140,13.1
140.2,28.71
140.4,31.15
140.6,17.99
140.8,11.21
141,22.08
141.2,34.45
141.4,19.8
141.6,15.56
141.8,36.48
142,26.21
142.2,15.53
142.4,11.52
142.6,37.71
142.8,27.21
143,16.4
143.2,17.48
143.4,37.69
143.6,22.49
143.8,13.19
144,8.001
144.2,15.1
144.4,38.24
144.6,22.09
144.8,21.17
145,34.24
145.2,24.07
145.4,18.23
145.6,32.32
145.8,28.08
146,18.18
146.2,22.27
146.4,34.48
146.6,21.31
146.8,14.83
147,31.86
147.2,29.34
147.4,17.19
147.6,10.75
147.8,22.58
148,34.14
148.2,19.74
148.4,16.51
148.6,36.85
148.8,25.24
149,15.22
149.2,14.7
149.4,39.48
149.6,23.57
149.8,14.07
150,13.81
150.2,40.17
150.4,23.58
150.6,14.64
150.8,21.41
151,35.11
151.2,20.24
151.4,11.9
151.6,7.895
151.8,30.87
152,30.64
152.2,19.58
152.4,25.09
152.6,32.54
152.8,21.1
153,18.53
153.2,35.58
153.4,24.97
153.6,16.36
153.8,25.4
154,32.71
154.2,19.47
154.4,12.96
154.6,29.86
154.8,30.61
155,17.71
155.2,11.25
155.4,25.2
155.6,32.86
155.8,19.05
156,15.34
156.2,37.19
156.4,25.75
156.6,15.16
156.8,10.18
157,32.04
157.2,29.97
157.4,18.08
157.6,19.42
157.8,36.29
158,22.38
158.2,13.99
158.4,21.4
158.6,35.08
158.8,20.11
159,12.05
159.2,13.6
159.4,40.36
159.6,22.9
159.8,15.82
160,31.19
160.2,29.51
160.4,17.57
160.6,12.91
160.8,36.35
161,27.43
161.2,16.06
161.4,11.25
161.6,35.03
161.8,28.55
162,17.04
162.2,16.72
162.4,38.04
162.6,23.25
162.8,13.66
163,8.681
163.2,25.13
163.4,32.81
163.6,19.87
163.8,21.73
164,34.58
164.2,22.4
164.4,16.51
164.6,33.2
164.8,28.1
165,17.11
165.2,15.97
165.4,38.36
165.6,23.81
165.8,13.96
166,8.349
166.2,11.43
166.4,41.49
166.6,23.32
166.8,20.22
167,33.99
167.2,25.42
167.4,18.37
167.6,30.03
167.8,29.6
168,19.02
168.2,20.55
168.4,35.43
168.6,22.46
168.8,15.22
169,29.56
169.2,30.51
169.4,17.92
169.6,11.47
169.8,25.99
170,32.49
170.2,18.83
170.4,14.78
170.6,37.1
170.8,26.15
171,15.31
171.2,9.281
171.4,15.51
171.6,38.27
171.8,21.81
172,19.16
172.2,35.17
172.4,24.92
172.6,16.87
172.8,27.74
173,31.31
173.2,18.97
173.4,14.7
173.6,36.71
173.8,26.48
174,15.5
174.2,9.403
174.4,15.74
174.6,38.13
174.8,21.72
175,18.97
175.2,35.27
175.4,24.97
175.6,16.74
175.8,27.09
176,31.7
176.2,19.11
176.4,14.14
176.6,35.67
176.8,27.39
177,15.98
177.2,9.38
177.4,5.757
177.6,16.27
177.8,36.84
178,22.51
178.2,24.58
178.4,32.09
178.6,23.18
178.8,21.78
179,33.19
179.2,24.93
179.4,19.83
179.6,31.99
179.8,27.61
180,19.31
180.2,26.82
180.4,31.45
180.6,20.51
180.8,19.85
181,35.4
181.2,23.77
181.4,16.38
181.6,29.62
181.8,30.29
182,18.23
182.2,14.16
182.4,37.25
182.6,26.36
182.8,15.39
183,9.065
183.2,6.802
183.4,39.45
183.6,28.08
183.8,20.13
