time,A,B
1.610000000000000142e+01,"(0.3107, -7.1416)","(-4.4079, 5.057)"
1.619999999999999929e+01,"(0.6982, -12.8201)","(-7.3894, 6.799)"
1.630000000000000071e+01,"(0.811, -19.8037)","(-15.7148, 13.856)"
1.640000000000000213e+01,"(-0.4281, -17.0239)","(-19.6893, 18.9388)"
1.650000000000000000e+01,"(-1.0954, -8.2848)","(-7.2043, 10.0609)"
1.660000000000000142e+01,"(-0.4866, -3.7912)","(-2.1556, 3.5037)"
1.669999999999999929e+01,"(-0.0239, -3.3322)","(-2.0034, 2.0156)"
1.680000000000000071e+01,"(0.2653, -5.5472)","(-5.5787, 4.8036)"
1.690000000000000213e+01,"(0.6532, -10.8045)","(-16.2834, 13.8)"
1.700000000000000000e+01,"(1.0359, -19.4257)","(-25.5652, 23.833)"
1.710000000000000142e+01,"(-0.0424, -20.1754)","(-6.0754, 11.8743)"
1.719999999999999929e+01,"(-1.3718, -9.6364)","(-1.4101, 8.176)"
1.730000000000000071e+01,"(-0.7946, -3.4576)","(-0.8818, 12.7406)"
1.740000000000000213e+01,"(-0.1756, -1.3153)","(-1.3384, 23.5438)"
1.750000000000000000e+01,"(0.0429, -1.6101)","(0.2663, 23.2141)"
1.760000000000000142e+01,"(0.2052, -3.2842)","(1.6824, 9.9436)"
1.769999999999999929e+01,"(0.5272, -7.4568)","(0.4827, 4.4184)"
1.780000000000000071e+01,"(1.1611, -16.7882)","(-0.3181, 6.8733)"
1.790000000000000213e+01,"(0.8886, -25.2954)","(-1.2611, 17.0519)"
1.800000000000000000e+01,"(-1.6948, -13.1031)","(-1.646, 32.099)"
1.810000000000000142e+01,"(-1.7653, -4.4906)","(2.4705, 15.6956)"
1.819999999999999929e+01,"(-1.7793, -2.3995)","(2.4796, 5.3384)"
1.830000000000000071e+01,"(-2.9527, -3.3376)","(2.8674, 3.6216)"
1.840000000000000213e+01,"(-5.4565, -6.1436)","(6.6065, 7.7162)"
1.850000000000000000e+01,"(-10.3883, -11.684)","(16.6892, 19.3963)"
1.860000000000000142e+01,"(-14.9579, -15.9038)","(20.1448, 19.9222)"
1.869999999999999929e+01,"(-10.5962, -9.1171)","(9.322, 4.5427)"
1.880000000000000071e+01,"(-4.73, -3.1638)","(5.4478, 0.9812)"
1.890000000000000213e+01,"(-1.6884, -1.1853)","(9.243, 0.7033)"
1.900000000000000000e+01,"(-1.2168, -1.2051)","(21.2947, 1.5303)"
1.910000000000000142e+01,"(-2.1222, -2.3697)","(29.8197, 0.7287)"
1.920000000000000284e+01,"(-4.5365, -5.1953)","(11.9138, -2.6144)"
1.930000000000000071e+01,"(-10.0104, -11.4773)","(3.6425, -1.6698)"
1.940000000000000213e+01,"(-16.6448, -18.1144)","(2.2188, -1.7317)"
1.950000000000000000e+01,"(-11.5223, -9.6126)","(5.0881, -4.3154)"
1.960000000000000142e+01,"(-4.8676, -2.5031)","(15.1121, -12.7541)"
1.970000000000000284e+01,"(-2.2991, -0.5163)","(27.0127, -24.6448)"
1.980000000000000071e+01,"(-3.0419, -0.2221)","(6.7414, -12.6629)"
1.990000000000000213e+01,"(-5.6159, -0.3429)","(1.5808, -8.9486)"
2.000000000000000000e+01,"(-11.4785, -0.7386)","(0.9087, -13.4102)"
2.010000000000000142e+01,"(-20.8543, -1.1193)","(1.2267, -23.3264)"
2.020000000000000284e+01,"(-19.7356, 0.2924)","(-0.3402, -22.0698)"
2.030000000000000071e+01,"(-8.4566, 1.5259)","(-1.4696, -10.0486)"
2.040000000000000213e+01,"(-2.692, 0.8267)","(-0.3782, -5.5447)"
2.050000000000000000e+01,"(-0.647, 0.2759)","(0.4577, -9.2723)"
2.060000000000000142e+01,"(-0.2842, 0.2096)","(1.4348, -21.0127)"
2.070000000000000284e+01,"(-0.4988, 0.4299)","(0.6932, -29.0882)"
2.080000000000000071e+01,"(-1.1654, 1.0054)","(-2.4016, -12.0915)"
2.090000000000000213e+01,"(-2.9785, 2.55)","(-1.3611, -3.5722)"
2.100000000000000000e+01,"(-7.8639, 6.7143)","(-0.5915, -0.9536)"
2.110000000000000142e+01,"(-17.9608, 15.6475)","(-1.1995, -1.4409)"
2.120000000000000284e+01,"(-16.0448, 16.6309)","(-3.7873, -4.5326)"
2.130000000000000071e+01,"(-3.9039, 7.7989)","(-13.2293, -15.8998)"
2.140000000000000213e+01,"(-0.9117, 5.3112)","(-27.2667, -29.936)"
2.150000000000000000e+01,"(-0.3867, 6.8591)","(-14.9095, -6.265)"
2.160000000000000142e+01,"(-0.4854, 10.5162)","(-13.6619, -1.6591)"
2.170000000000000284e+01,"(-0.6626, 15.9754)","(-18.5192, -0.8665)"
2.180000000000000071e+01,"(-0.1756, 17.8723)","(-20.5196, -0.2151)"
2.190000000000000213e+01,"(0.7097, 12.1398)","(-14.7133, 0.6882)"
2.200000000000000000e+01,"(0.5962, 6.9387)","(-10.8526, 0.3846)"
2.210000000000000142e+01,"(0.123, 5.6357)","(-13.3472, -0.3172)"
2.220000000000000284e+01,"(-0.2403, 7.6385)","(-20.2654, -0.7999)"
2.230000000000000071e+01,"(-0.5844, 12.4416)","(-21.3387, -0.0158)"
2.240000000000000213e+01,"(-0.6689, 18.1875)","(-12.9528, 0.99)"
2.250000000000000000e+01,"(0.2458, 16.6954)","(-9.0523, 0.3649)"
2.260000000000000142e+01,"(0.8792, 9.4619)","(-12.75, -0.4549)"
2.270000000000000284e+01,"(0.4466, 5.3497)","(-21.9253, -1.0733)"
2.280000000000000071e+01,"(-0.0063, 5.2399)","(-22.6469, 0.088)"
2.290000000000000213e+01,"(-0.3497, 8.1437)","(-11.3293, 1.3712)"
2.300000000000000000e+01,"(-0.7167, 14.0112)","(-6.5116, 0.4333)"
2.310000000000000142e+01,"(-0.6367, 19.6702)","(-10.0402, -0.4378)"
2.320000000000000284e+01,"(0.5973, 15.2802)","(-21.1732, -1.3468)"
2.330000000000000071e+01,"(0.941, 7.5935)","(-27.4141, -0.4995)"
2.340000000000000213e+01,"(0.3548, 4.1314)","(-11.9711, 2.0802)"
2.350000000000000000e+01,"(-0.0587, 4.5179)","(-3.7981, 0.9701)"
2.360000000000000142e+01,"(-0.3837, 7.6793)","(-2.3697, 0.0301)"
2.370000000000000284e+01,"(-0.7961, 14.1487)","(-6.191, -0.4637)"
2.380000000000000071e+01,"(-0.7547, 20.8442)","(-18.604, -1.5754)"
2.390000000000000213e+01,"(0.73, 15.5444)","(-36.8976, -1.9092)"
2.400000000000000000e+01,"(1.0982, 6.9223)","(-14.3775, 4.0429)"
2.410000000000000142e+01,"(0.4043, 3.002)","(-7.5809, 5.1797)"
2.420000000000000284e+01,"(-0.0033, 2.8189)","(-9.9224, 8.6436)"
2.430000000000000071e+01,"(-0.2598, 4.9782)","(-17.0376, 15.3162)"
2.440000000000000213e+01,"(-0.6436, 10.1321)","(-15.7452, 16.0714)"
2.450000000000000000e+01,"(-1.1135, 19.316)","(-6.3559, 8.4385)"
2.460000000000000142e+01,"(-0.1034, 21.4113)","(-3.7244, 4.3096)"
2.470000000000000284e+01,"(1.51, 10.0343)","(-6.8003, 6.1874)"
2.480000000000000071e+01,"(0.9707, 3.3616)","(-15.579, 13.6015)"
2.490000000000000213e+01,"(0.329, 0.8368)","(-21.1075, 20.0398)"
2.500000000000000000e+01,"(0.181, 0.271)","(-7.1186, 10.4257)"
2.510000000000000142e+01,"(0.3445, 0.4031)","(-1.6737, 3.5589)"
2.520000000000000284e+01,"(0.7923, 0.9173)","(-0.2685, 0.8143)"
2.530000000000000071e+01,"(1.9871, 2.3187)","(-0.0814, 0.7287)"
2.540000000000000213e+01,"(5.2428, 6.1446)","(-0.1995, 2.2063)"
2.550000000000000000e+01,"(13.0893, 15.1871)","(-0.7722, 8.14)"
2.560000000000000142e+01,"(18.6776, 19.4961)","(-2.7386, 29.751)"
2.570000000000000284e+01,"(9.3289, 5.6751)","(0.9242, 31.8101)"
2.580000000000000071e+01,"(5.4744, 1.2866)","(8.2647, 14.255)"
2.590000000000000213e+01,"(6.3799, 0.4328)","(11.2758, 13.0406)"
2.600000000000000000e+01,"(9.488, 0.4347)","(13.4125, 13.9297)"
2.610000000000000142e+01,"(14.6577, 0.638)","(11.495, 10.9233)"
2.620000000000000284e+01,"(18.1017, 0.3739)","(9.0461, 8.5486)"
2.630000000000000071e+01,"(13.7372, -0.5586)","(9.6252, 9.8871)"
2.640000000000000213e+01,"(7.9014, -0.6837)","(12.8653, 13.6741)"
2.650000000000000000e+01,"(5.7203, -0.221)","(14.2182, 14.3597)"
2.660000000000000142e+01,"(7.0498, 0.1623)","(10.7163, 9.7577)"
2.670000000000000284e+01,"(11.2132, 0.5054)","(8.0791, 7.6099)"
2.680000000000000071e+01,"(17.1274, 0.7016)","(9.5736, 10.0664)"
2.690000000000000213e+01,"(17.7952, 0.0142)","(13.9739, 15.0497)"
2.700000000000000000e+01,"(10.9279, -0.8433)","(14.6509, 14.5209)"
2.710000000000000142e+01,"(5.989, -0.5571)","(9.5879, 8.2718)"
2.720000000000000284e+01,"(5.1383, -0.0716)","(6.8875, 6.4823)"
2.730000000000000071e+01,"(7.4758, 0.2799)","(9.2805, 9.9982)"
2.740000000000000213e+01,"(12.7351, 0.6429)","(15.1503, 16.5901)"
2.750000000000000000e+01,"(18.9757, 0.724)","(15.2993, 14.8881)"
2.760000000000000142e+01,"(16.7269, -0.3475)","(8.5104, 6.7407)"
2.770000000000000284e+01,"(8.8099, -0.9721)","(5.2295, 4.7879)"
2.780000000000000071e+01,"(4.6062, -0.4524)","(7.8055, 8.5782)"
2.790000000000000213e+01,"(4.453, 0.0035)","(15.3398, 17.2778)"
2.800000000000000000e+01,"(7.2014, 0.331)","(17.6129, 17.5469)"
2.810000000000000142e+01,"(13.115, 0.728)","(8.6879, 6.0024)"
2.820000000000000284e+01,"(20.1897, 0.8172)","(3.0883, 2.1797)"
2.830000000000000071e+01,"(16.7605, -0.5092)","(3.1111, 3.3345)"
2.840000000000000213e+01,"(7.8944, -1.1194)","(7.7921, 9.0867)"
2.850000000000000000e+01,"(3.4881, -0.4736)","(19.5346, 22.5879)"
2.860000000000000142e+01,"(3.0395, -0.022)","(17.6275, 15.702)"
2.870000000000000284e+01,"(5.1452, 0.2521)","(8.4772, 3.3001)"
2.880000000000000071e+01,"(10.2159, 0.6315)","(6.9328, 0.8431)"
2.890000000000000213e+01,"(19.0639, 1.0711)","(13.2427, 0.9348)"
2.900000000000000000e+01,"(21.0605, 0.1024)","(26.6483, 1.615)"
2.910000000000000142e+01,"(10.1651, -1.4289)","(22.1709, -0.8703)"
2.920000000000000284e+01,"(3.5409, -0.9052)","(7.907, -2.0733)"
2.930000000000000071e+01,"(1.0156, -0.2373)","(1.9998, -0.6151)"
2.940000000000000213e+01,"(0.7006, -0.0101)","(1.1067, -0.0054)"
2.950000000000000000e+01,"(1.3975, 0.0825)","(3.3041, 0.2678)"
2.960000000000000142e+01,"(3.2269, 0.231)","(11.1943, 1.0169)"
2.970000000000000284e+01,"(7.974, 0.6028)","(34.6047, 2.8729)"
2.980000000000000071e+01,"(18.8546, 1.3508)","(23.0743, -2.5719)"
2.990000000000000213e+01,"(26.2054, 0.6764)","(11.3574, -6.9601)"
3.000000000000000000e+01,"(11.2505, -2.1903)","(11.5731, -10.0509)"
3.010000000000000142e+01,"(4.2972, -2.28)","(15.1789, -14.1443)"
3.020000000000000284e+01,"(3.6694, -3.0767)","(13.0817, -13.4882)"
3.030000000000000071e+01,"(5.4862, -4.9454)","(8.0106, -9.0721)"
3.040000000000000213e+01,"(9.4104, -8.4729)","(7.4639, -7.6082)"
3.050000000000000000e+01,"(13.974, -12.921)","(11.5763, -10.7149)"
3.060000000000000142e+01,"(11.7048, -12.1789)","(16.6981, -15.5936)"
3.070000000000000284e+01,"(5.5535, -6.9542)","(12.5246, -13.4271)"
3.080000000000000071e+01,"(2.8752, -3.5342)","(6.439, -7.7521)"
3.090000000000000213e+01,"(3.031, -3.0381)","(6.299, -6.3653)"
3.100000000000000000e+01,"(5.1337, -4.6829)","(11.4486, -10.355)"
3.110000000000000142e+01,"(9.5263, -8.5126)","(18.6087, -17.0522)"
3.120000000000000284e+01,"(14.8384, -13.625)","(12.6072, -13.9461)"
3.130000000000000071e+01,"(11.8981, -12.5291)","(4.8523, -6.6388)"
3.140000000000000213e+01,"(4.9403, -6.5778)","(3.9276, -4.1393)"
3.150000000000000000e+01,"(2.0877, -2.8141)","(8.414, -7.4721)"
3.160000000000000142e+01,"(1.9357, -1.9971)","(18.7077, -16.3882)"
3.170000000000000284e+01,"(3.4386, -3.1252)","(17.9944, -18.3589)"
3.180000000000000071e+01,"(6.9721, -6.1543)","(4.905, -8.3335)"
3.190000000000000213e+01,"(13.4911, -11.9819)","(1.0127, -2.5534)"
3.200000000000000000e+01,"(15.9083, -15.3903)","(0.2005, -1.3328)"
3.210000000000000142e+01,"(7.0331, -9.0372)","(0.2747, -3.1759)"
3.220000000000000284e+01,"(2.0759, -3.5673)","(0.9403, -10.4182)"
3.230000000000000426e+01,"(0.5028, -0.9827)","(2.7569, -32.6822)"
3.239999999999999858e+01,"(0.1213, -0.2059)","(-1.9686, -25.2819)"
3.250000000000000000e+01,"(0.1396, -0.1355)","(-6.6804, -11.4692)"
3.260000000000000142e+01,"(0.3404, -0.2968)","(-9.5335, -11.1065)"
3.270000000000000284e+01,"(0.8608, -0.7386)","(-13.9275, -15.0755)"
3.280000000000000426e+01,"(2.3052, -1.9642)","(-14.0615, -13.8376)"
3.289999999999999858e+01,"(6.3685, -5.4111)","(-9.4111, -8.2419)"
3.300000000000000000e+01,"(16.1076, -13.8528)","(-7.3004, -7.0146)"
3.310000000000000142e+01,"(19.3868, -18.8378)","(-9.9812, -10.7542)"
3.320000000000000284e+01,"(5.0722, -9.1702)","(-15.3423, -16.6147)"
3.330000000000000426e+01,"(1.1868, -6.127)","(-14.3596, -13.7113)"
3.339999999999999858e+01,"(0.4304, -7.4373)","(-8.1846, -6.664)"
3.350000000000000000e+01,"(0.4431, -10.6775)","(-5.8694, -5.616)"
3.360000000000000142e+01,"(0.5582, -15.2645)","(-9.1691, -10.1053)"
3.370000000000000284e+01,"(0.1594, -16.9062)","(-16.4142, -18.1965)"
3.380000000000000426e+01,"(-0.5528, -12.4189)","(-15.5856, -14.7593)"
3.389999999999999858e+01,"(-0.5139, -7.9117)","(-7.5075, -5.3285)"
3.400000000000000000e+01,"(-0.1101, -6.779)","(-3.5752, -3.0875)"
3.410000000000000142e+01,"(0.2403, -8.7761)","(-5.5811, -6.2086)"
3.420000000000000284e+01,"(0.5328, -13.1968)","(-13.2208, -15.2831)"
3.430000000000000426e+01,"(0.4785, -17.4039)","(-21.1825, -22.6332)"
3.439999999999999858e+01,"(-0.3105, -15.1681)","(-10.9444, -7.1504)"
