time,A,B
1.920000000000000284e+01,"(11.9138, -2.6144)","(2.5498, 4.0955)"
1.930000000000000071e+01,"(3.6425, -1.6698)","(0.5458, 0.968)"
1.940000000000000213e+01,"(2.2188, -1.7317)","(0.6721, 1.6424)"
1.950000000000000000e+01,"(5.0881, -4.3154)","(2.077, 5.2781)"
1.960000000000000142e+01,"(15.1121, -12.7541)","(7.1235, 18.1993)"
1.970000000000000284e+01,"(27.0127, -24.6448)","(15.4477, 37.4519)"
1.980000000000000071e+01,"(6.7414, -12.6629)","(8.8962, 13.4476)"
1.990000000000000213e+01,"(1.5808, -8.9486)","(8.6475, 9.803)"
2.000000000000000000e+01,"(0.9087, -13.4102)","(12.3486, 12.9568)"
2.010000000000000142e+01,"(1.2267, -23.3264)","(14.9345, 15.1943)"
2.020000000000000284e+01,"(-0.3402, -22.0698)","(11.2597, 10.7938)"
2.030000000000000071e+01,"(-1.4696, -10.0486)","(7.6338, 7.287)"
2.040000000000000213e+01,"(-0.3782, -5.5447)","(8.5136, 8.6621)"
2.050000000000000000e+01,"(0.4577, -9.2723)","(13.3662, 13.9235)"
2.060000000000000142e+01,"(1.4348, -21.0127)","(16.0245, 16.2259)"
2.070000000000000284e+01,"(0.6932, -29.0882)","(10.3234, 9.6113)"
2.080000000000000071e+01,"(-2.4016, -12.0915)","(6.1872, 5.8152)"
2.090000000000000213e+01,"(-1.3611, -3.5722)","(7.5623, 7.77)"
2.100000000000000000e+01,"(-0.5915, -0.9536)","(13.7936, 14.5202)"
2.110000000000000142e+01,"(-1.1995, -1.4409)","(17.7449, 18.0528)"
2.120000000000000284e+01,"(-3.7873, -4.5326)","(9.8994, 8.8743)"
2.130000000000000071e+01,"(-13.2293, -15.8998)","(4.4528, 3.9523)"
2.140000000000000213e+01,"(-27.2667, -29.936)","(4.8975, 5.0237)"
2.150000000000000000e+01,"(-14.9095, -6.265)","(10.8602, 11.5785)"
2.160000000000000142e+01,"(-13.6619, -1.6591)","(20.6404, 21.6944)"
2.170000000000000284e+01,"(-18.5192, -0.8665)","(13.0602, 11.8278)"
2.180000000000000071e+01,"(-20.5196, -0.2151)","(4.9271, 3.582)"
2.190000000000000213e+01,"(-14.7133, 0.6882)","(1.582, 0.9411)"
2.200000000000000000e+01,"(-10.8526, 0.3846)","(2.2914, 1.1333)"
2.210000000000000142e+01,"(-13.3472, -0.3172)","(6.6843, 3.2826)"
2.220000000000000284e+01,"(-20.2654, -0.7999)","(21.4975, 10.5676)"
2.230000000000000071e+01,"(-21.3387, -0.0158)","(32.5298, 14.7646)"
2.240000000000000213e+01,"(-12.9528, 0.99)","(13.7198, 3.1237)"
2.250000000000000000e+01,"(-9.0523, 0.3649)","(11.8437, 1.1973)"
2.260000000000000142e+01,"(-12.75, -0.4549)","(17.826, 1.2783)"
2.270000000000000284e+01,"(-21.9253, -1.0733)","(22.8741, 1.3198)"
2.280000000000000071e+01,"(-22.6469, 0.088)","(15.7895, 0.3058)"
2.290000000000000213e+01,"(-11.3293, 1.3712)","(9.1933, 0.0977)"
2.300000000000000000e+01,"(-6.5116, 0.4333)","(10.2069, 0.5534)"
2.310000000000000142e+01,"(-10.0402, -0.4378)","(18.2322, 1.2943)"
2.320000000000000284e+01,"(-21.1732, -1.3468)","(25.405, 1.5177)"
2.330000000000000071e+01,"(-27.4141, -0.4995)","(15.1922, 0.0709)"
