time,A_x,A_y,A_z,B_x,B_y,B_z,C_x,C_y,C_z,D_x,D_y,D_z,E_x,E_y,E_z,F_x,F_y,F_z,G_x,G_y,G_z,H_x,H_y,H_z,I_x,I_y,I_z
5.8,-0.68718707,-0.055972953,16.692874,14.419819,0.86947344,33.300121,18.900991,-1.819485,30.725059,13.287061,-5.2726756,16.840786,19.025652,-3.9932244,24.581509,4.3347353,-3.3988411,13.651578,-5.9903862,4.0610668,34.529964,12.971314,1.6332309,32.787642,16.552577,-0.20124389,33.096246
6,-2.9193142,0.20625891,9.9763213,6.0723632,0.29568108,25.244635,6.1683083,-1.5117236,29.107005,13.250327,-8.20432,37.260015,7.9475565,-3.6000577,33.061651,16.958434,-13.600149,21.581648,3.2038312,5.160152,20.542193,6.5235574,0.90538064,24.45882,5.8107081,-0.43503316,26.67682
6.2,-17.328822,1.168556,12.002375,10.850768,1.3638903,19.520954,6.0792802,-0.4646628,18.872841,1.8667447,-1.7186209,24.45153,3.4870408,-0.97077017,20.450965,2.9529942,-7.5369452,34.942309,9.1629806,13.52954,21.159302,12.305696,2.3650879,20.630603,8.6993689,0.35648097,18.759219
6.4,-9.9363999,8.1372392,41.380376,17.69231,1.6244257,31.446869,17.697974,-1.0122761,21.563205,3.2453916,-1.327069,14.732344,11.148806,-2.0649084,15.61569,-0.58919057,-1.1923685,19.992914,10.793607,5.9666921,34.765386,15.798844,2.3385473,32.560853,19.192948,0.52690506,27.954396
6.6,2.3249809,4.0459566,23.255013,6.5151288,0.063865363,28.197102,10.704788,-2.4147359,34.834949,14.802228,-5.665038,14.604842,18.658134,-5.2154857,35.429127,-2.6750683,-3.507087,12.189639,3.4706176,2.4921492,23.045669,6.3751825,0.6975076,26.625268,7.5498514,-0.84007307,30.844214
6.8,7.21976,9.5779471,18.23139,7.6646878,0.90905868,19.298547,3.3761439,-0.53529108,21.955513,11.478028,-8.3051572,39.619555,3.0481332,-1.7841971,26.952572,-12.722415,-16.423418,17.781277,5.5557578,8.6007233,16.884487,9.5170716,1.8116474,19.619771,5.4446128,0.10430485,19.854157
7,12.807476,12.087857,34.017752,18.47528,2.2170809,25.376487,9.3133732,-0.43433071,15.432387,0.48369798,-1.8337841,23.376619,2.4834756,-0.53295955,16.02897,-8.8108508,-3.4812751,37.226834,13.475043,14.501557,32.51311,18.065477,3.134764,29.281074,15.820539,0.81394202,19.660709
7.2,4.2578739,2.2985278,26.774848,9.0465126,-0.017979068,32.371372,21.210227,-1.9446237,31.898369,-0.23260142,-4.1474523,14.134397,11.21303,-1.9324697,12.374666,-2.4114222,1.5481983,21.088812,4.9374787,0.90680827,28.427106,7.4490019,0.62369062,29.73421,13.20072,-0.89107742,35.723672
7.4,4.1159963,5.1972308,17.420103,5.0114339,0.45596515,20.919771,4.5103799,-1.593514,29.187238,-1.01641,-18.285284,16.599636,19.566336,-5.7619435,38.461122,-7.2142904,5.6236955,14.595814,2.6226018,3.4790753,17.488726,6.805182,1.2229094,20.03272,3.5085105,-0.24670763,23.401349
7.6,12.121732,15.449936,23.586056,13.929442,1.8772352,18.525062,2.1247523,-0.19399872,17.271017,-4.3102016,-10.618555,38.300385,1.8932541,-2.0748779,26.437982,-16.099156,14.899577,32.194345,8.290577,13.579947,17.169247,17.132558,3.3081387,23.108998,7.9724856,0.435485,15.721925
7.8,8.0657557,3.7424364,33.732336,15.36807,0.78329907,35.696476,9.0071327,-0.31220966,12.029503,-1.5083478,-0.7987327,22.008203,1.2086675,-3.3593554,15.751082,-1.4209164,4.2548498,29.208397,12.302713,6.0703296,37.682376,10.700438,0.96905159,33.654132,21.587842,0.71347127,28.355977
