time,z
130.2,30.750257
130.4,17.950593
130.6,10.896611
130.8,16.236574
131,38.10334
131.2,21.54091
131.4,16.606782
131.6,35.072114
131.8,26.760316
132,16.336137
132.2,16.597438
132.4,38.225377
132.6,22.961602
132.8,13.451471
133,7.897234
133.2,4.9195942
133.4,18.296064
133.6,35.534884
133.8,22.630561
134,25.903701
134.2,31.144041
134.4,22.949019
134.6,23.415867
134.8,32.448436
135,24.139482
135.2,21.253361
135.4,32.716292
135.6,25.999836
135.8,19.952357
136,30.571064
136.2,28.682411
136.4,19.891252
136.6,25.383422
136.8,32.243
137,21.293263
137.2,19.583293
137.4,35.150468
137.6,24.48611
137.8,16.909087
138,29.146211
138.2,30.478251
138.4,18.568382
138.6,15.458034
138.8,37.588644
139,25.293302
139.2,14.887963
139.4,9.9007893
139.6,31.186419
139.8,30.335691
140,18.355939
140.2,20.028902
140.4,35.88186
140.6,22.248831
140.8,14.305039
141,25.112723
141.2,32.949206
141.4,19.026503
141.6,11.165517
141.8,6.7660821
142,14.093533
142.2,38.632792
142.4,22.604236
142.6,22.80042
142.8,33.157878
143,23.783933
143.2,20.012926
143.4,33.250085
143.6,26.361324
143.8,18.827336
144,28.776363
144.2,30.29921
144.4,19.661581
144.6,20.617245
144.8,35.249
145,22.826666
145.2,15.91166
145.4,30.882859
145.6,29.660794
145.8,17.698791
146,13.195163
146.2,36.721883
146.4,27.123495
146.6,15.857086
146.8,10.568895
147,31.33303
147.2,30.207121
147.4,18.022347
147.6,17.910187
147.8,37.184906
148,23.116364
148.2,13.961998
148.4,15.114749
148.6,39.348018
148.8,22.71932
149,14.079614
149.2,21.04693
149.4,35.298316
149.6,20.238869
149.8,12.109132
150,13.243726
150.2,40.643142
150.4,23.125848
150.6,15.881839
150.8,30.795047
151,29.723751
151.2,17.710426
151.4,13.013906
151.6,36.288763
151.8,27.434206
152,16.041079
152.2,10.932761
152.4,33.218577
152.6,29.38233
152.8,17.52443
153,17.186569
153.2,37.684657
153.4,23.245655
153.6,13.778106
153.8,10.857865
154,39.98339
154.2,26.272907
154.4,16.555199
154.6,23.417355
154.8,33.890504
155,20.151623
155.2,12.871517
155.4,25.153733
155.6,32.921256
155.8,18.907442
156,12.162121
156.2,26.802521
156.4,32.103126
156.6,18.537165
156.8,13.149471
157,34.649701
157.2,28.262261
157.4,16.45906
157.6,10.472465
157.8,25.573545
158,32.666062
