time,A,B
1.160000000000000142e+01,"(0.744, -19.784)","(-3.4836, -5.4633)"
1.170000000000000107e+01,"(0.0667, -21.1946)","(-7.9443, -12.4613)"
1.180000000000000071e+01,"(-0.9153, -13.4577)","(-13.7305, -21.0109)"
1.190000000000000036e+01,"(-0.3738, -9.5385)","(-9.3693, -12.5461)"
1.200000000000000000e+01,"(0.4221, -12.9502)","(-3.937, -4.1804)"
1.210000000000000142e+01,"(0.9983, -21.5182)","(-2.239, -1.845)"
1.220000000000000107e+01,"(-0.0685, -22.2481)","(-3.2071, -2.3469)"
1.230000000000000071e+01,"(-1.2624, -11.7118)","(-5.8042, -4.2161)"
1.240000000000000036e+01,"(-0.4063, -7.223)","(-11.2227, -8.1643)"
1.250000000000000000e+01,"(0.4638, -10.9854)","(-17.5882, -12.5519)"
1.260000000000000142e+01,"(1.3023, -21.8563)","(-13.582, -8.8675)"
1.270000000000000107e+01,"(0.2261, -25.7336)","(-5.9918, -3.3875)"
1.280000000000000071e+01,"(-1.8678, -11.398)","(-2.1207, -1.1727)"
1.290000000000000036e+01,"(-0.7323, -4.1946)","(-1.2222, -0.8043)"
1.300000000000000000e+01,"(0.1329, -4.7157)","(-2.0357, -1.4644)"
1.310000000000000142e+01,"(0.8979, -11.9871)","(-4.3237, -3.1648)"
1.320000000000000107e+01,"(2.0903, -29.2958)","(-9.7665, -7.1741)"
1.330000000000000071e+01,"(-1.2573, -23.6119)","(-18.7322, -13.576)"
1.340000000000000036e+01,"(-3.4217, -8.1984)","(-16.2106, -10.7289)"
1.350000000000000000e+01,"(-3.7365, -4.8865)","(-6.6246, -3.4515)"
1.360000000000000142e+01,"(-7.6376, -8.8372)","(-2.6632, -1.0177)"
1.370000000000000107e+01,"(-16.7691, -19.1636)","(-2.8727, -0.8004)"
1.380000000000000071e+01,"(-18.0901, -17.5248)","(-5.0152, -1.3286)"
1.390000000000000036e+01,"(-8.1044, -4.6458)","(-9.9509, -2.6528)"
1.400000000000000000e+01,"(-2.5285, -0.9287)","(-18.5695, -4.8888)"
1.410000000000000142e+01,"(-1.7944, -0.2241)","(-20.4586, -4.8523)"
1.420000000000000107e+01,"(-4.5588, -0.3886)","(-10.0308, -1.6614)"
1.430000000000000071e+01,"(-14.7646, -1.3172)","(-3.5753, -0.4003)"
1.440000000000000036e+01,"(-38.1373, -2.7136)","(-0.9955, -0.1176)"
1.450000000000000000e+01,"(-17.6081, 3.8464)","(-0.5939, -0.1329)"
1.460000000000000142e+01,"(-9.6824, 6.4553)","(-1.1697, -0.3092)"
1.470000000000000107e+01,"(-11.3049, 9.9185)","(-2.7062, -0.7335)"
1.480000000000000071e+01,"(-16.0885, 14.8614)","(-6.7288, -1.8384)"
1.490000000000000036e+01,"(-13.4718, 14.0153)","(-16.4253, -4.4695)"
1.500000000000000000e+01,"(-7.1685, 8.5084)","(-26.2602, -6.6874)"
1.510000000000000142e+01,"(-6.3382, 6.5461)","(-13.0421, -2.0841)"
